entered,weeks_in_top_10,title,artist,peak,peak_reached,weeks_at_peak,id,duration_ms,explicit,popularity,tempo,title_words,vocals_start,year,album,preview_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,artwork
12-Nov-59,15,What Do You Want to Make Those Eyes at Me For?,Emile Ford & The Checkmates,1,24-Dec-59,6,5LpUlD9Egwtf4SgDRE9HVs,124200,FALSE,41,113.718,11,3000,1959,what do you want to make those eyes at me for?,https://p.scdn.co/mp3-preview/774f8c36fcf7344188ce55f682719e38a71fba08?cid=8b56eb9fa3db453f9b0089feea311c1b,0.303,0.453,0.74,0,8,0.032,-5.051,1,0.0494,4,0.882,https://i.scdn.co/image/ab67616d00001e02a7a7d0736a1e2627d0f8154d
18-Mar-78,9,Matchstalk Men and Matchstalk Cats and Dogs,Brian and Michael,1,08-Apr-78,3,3OGWrgVlTFOANyuZnPFNQe,280645,FALSE,2,77.496,7,18000,1978,"karaoke hits 70's, vol. 1",https://p.scdn.co/mp3-preview/57de733c3986597e6c30f5dad404008e01e3e535?cid=8b56eb9fa3db453f9b0089feea311c1b,0.586,0.576,0.44,1.03E-06,7,0.475,-9.371,1,0.0389,4,0.609,https://i.scdn.co/image/ab67616d00001e02a33e268646d876354d6f06a3
20-Feb-58,12,Magic Moments,Perry Como,1,06-Mar-58,8,7bflxIMDz5mFxhQyYx1CEh,159906,FALSE,57,103.829,2,9800,1958,today & yesterday,https://p.scdn.co/mp3-preview/7a0d9cbd871092cabeb391597fd7091c94a20c88?cid=8b56eb9fa3db453f9b0089feea311c1b,0.88,0.719,0.257,2.61E-06,0,0.257,-14.446,0,0.0435,4,0.75,https://i.scdn.co/image/ab67616d00001e022027745ea676490e7d3376ed
08-Jul-54,20,Little Things Mean a Lot,Kitty Kallen,1,16-Sep-54,1,1KawenIjsHQcJAvvI2hJDy,181506,FALSE,27,84,5,2000,1954,i'm old fashioned,https://p.scdn.co/mp3-preview/81fae6f54b5361110f9046c92b694534a2d987e1?cid=8b56eb9fa3db453f9b0089feea311c1b,0.827,0.384,0.156,0,8,0.108,-12.751,1,0.0409,4,0.351,https://i.scdn.co/image/ab67616d00001e02f42879f5e1cae6542db921c3
15-Apr-54,17,Such a Night,Johnnie Ray,1,06-May-54,1,7FKEOxS3qz0hv4dDaIQSqW,133133,FALSE,24,94.821,3,4950,1954,16 most requested songs,https://p.scdn.co/mp3-preview/ce6aed5608178bb63a9ec5307f76aca548cb538f?cid=8b56eb9fa3db453f9b0089feea311c1b,0.667,0.722,0.371,0,9,0.124,-16.712,1,0.151,4,0.92,https://i.scdn.co/image/ab67616d00001e0220b60e3979d942241c933294
09-Dec-72,11,Long Haired Lover from Liverpool,Little Jimmy Osmond,1,23-Dec-72,5,3W3YFrguAWe4dHpC3uKHel,142702,FALSE,0,132.049,5,6800,1972,very best of the osmonds,,0.338,0.763,0.674,2.02E-06,11,0.0952,-5.842,1,0.0365,4,0.939,https://i.scdn.co/image/ab67616d00001e02d912a247dab784a4b9f69a9a
10-Apr-76,10,Fernando,ABBA,1,08-May-76,4,4BM8yJ0PzBi2ZewpMTOxtx,252960,FALSE,68,110.821,1,26200,1976,arrival,,0.627,0.354,0.535,2.90E-06,9,0.0808,-8.876,1,0.0303,4,0.434,https://i.scdn.co/image/ab67616d00001e0270f7a1b35d5165c85b95a0e0
12-Jan-08,14,Rockstar,Nickelback,2,16-Feb-08,2,6n9yCXvLhnYMgJIiIcMu7D,252040,FALSE,71,144.072,1,840,2008,all the right reasons (special edition),https://p.scdn.co/mp3-preview/5285e2cc8c38bd7ac59a0c258af9253b66145eb7?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0459,0.616,0.91,0,0,0.343,-3.004,1,0.0386,4,0.693,https://i.scdn.co/image/ab67616d00001e02105db7f723f33d9273fbf4d8
24-Sep-94,11,Always,Bon Jovi,2,08-Oct-94,3,2RChe0r2cMoyOvuKobZy44,353026,FALSE,77,140.795,1,21400,1994,cross road,,0.117,0.383,0.659,0,4,0.0778,-5.558,1,0.0312,4,0.327,https://i.scdn.co/image/ab67616d00001e025f66fbeaff0725997250591c
21-Sep-17,12,Too Good at Goodbyes,Sam Smith,1,21-Sep-17,3,3VlbOrM6nYPprVvzBZllE5,201000,FALSE,75,91.873,4,900,2017,the thrill of it all (special edition),,0.64,0.681,0.372,0,5,0.169,-8.237,1,0.0432,4,0.476,https://i.scdn.co/image/ab67616d00001e02f3ea7140c4a8ba597d0b276b
